rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title,platform,price
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Sky Go,
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Now TV,
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Amazon,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Rakuten TV,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,AppleTV,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,YouTube,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Windows Store,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Paramount Plus,
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Sky Go,
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Prime Video,
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Amazon,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,YouTube,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,AppleTV,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Sky Store,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Windows Store,2.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Prime Video,
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,AppleTV,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Rakuten TV,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Sky Store,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Windows Store,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Amazon,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,YouTube,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Paramount Plus,
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Sky Go,
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Prime Video,
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Amazon,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,YouTube,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,AppleTV,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Sky Store,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Windows Store,2.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Now TV,
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Amazon,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Rakuten TV,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,AppleTV,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Sky Store,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,YouTube,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Chili,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Sky Go,
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Now TV,
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Amazon,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,AppleTV,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Rakuten TV,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Sky Store,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,YouTube,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Windows Store,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Sky Go,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Prime Video,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Netflix,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Now TV,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Amazon,2.99
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Rakuten TV,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,YouTube,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,AppleTV,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Sky Store,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Windows Store,2.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Paramount Plus,
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Amazon,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,YouTube,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Rakuten TV,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,AppleTV,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Sky Store,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Sky Go,
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Now TV,
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Amazon,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,AppleTV,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Sky Store,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Rakuten TV,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Windows Store,3.49
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",Prime Video,
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",AppleTV,3.49
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",Amazon,3.49
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",Sky Store,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Sky Go,
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Paramount Plus,
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Now TV,
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Amazon,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,YouTube,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Rakuten TV,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,AppleTV,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Sky Store,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Windows Store,2.49
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,Sky Go,
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,Now TV,
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,AppleTV,3.49
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,Amazon,3.49
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,Rakuten TV,3.49
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,Sky Store,3.49
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,YouTube,3.49
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers,Windows Store,3.49
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club,Disney+,
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club,Prime Video,
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club,AppleTV,3.49
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club,YouTube,3.49
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club,Rakuten TV,3.45
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club,Windows Store,3.49
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,Sky Go,
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,Now TV,
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,Amazon,3.49
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,Rakuten TV,3.49
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,AppleTV,3.49
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,Sky Store,3.49
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,YouTube,3.49
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception,Windows Store,3.49
15, Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,U,8.7, (1.5M),star wars: episode v - the empire strikes back,,
16, The Matrix,1999,2h 16m,15,8.7, (2.2M),the matrix,AppleTV,3.49
16, The Matrix,1999,2h 16m,15,8.7, (2.2M),the matrix,Amazon,3.49
16, The Matrix,1999,2h 16m,15,8.7, (2.2M),the matrix,Rakuten TV,3.49
16, The Matrix,1999,2h 16m,15,8.7, (2.2M),the matrix,Sky Store,3.49
16, The Matrix,1999,2h 16m,15,8.7, (2.2M),the matrix,Windows Store,3.49
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,Sky Go,
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,Now TV,
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,Amazon,3.49
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,Rakuten TV,3.49
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,AppleTV,3.49
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,Sky Store,3.49
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,YouTube,3.49
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas,Windows Store,3.49
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,Sky Go,
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,Now TV,
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,Amazon,3.49
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,AppleTV,3.49
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,Sky Store,3.49
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,YouTube,3.49
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,Rakuten TV,3.49
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar,Windows Store,3.49
19, One Flew Over the Cuckoo's Nest,1975,2h 13m,X,8.7, (1.1M),one flew over the cuckoo's nest,,
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Disney+,
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Now TV,
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Sky Go,
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Amazon,3.49
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Rakuten TV,3.49
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,YouTube,4.49
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,AppleTV,3.49
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Sky Store,3.49
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,BFI Player,3.5
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven,Windows Store,2.49
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Prime Video,
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Now TV,
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Sky Go,
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Amazon,3.49
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,YouTube,3.49
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Rakuten TV,3.49
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,AppleTV,3.49
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Sky Store,3.49
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life,Windows Store,2.49
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,Prime Video,
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,YouTube,3.49
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,Amazon,3.49
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,AppleTV,3.49
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,Sky Store,3.49
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,Chili,3.49
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs,Windows Store,3.49
23, Seven Samurai,1954,3h 27m,A,8.6, (387K),seven samurai,BFI Player,
23, Seven Samurai,1954,3h 27m,A,8.6, (387K),seven samurai,AppleTV,3.49
23, Seven Samurai,1954,3h 27m,A,8.6, (387K),seven samurai,Amazon,3.49
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Sky Go,
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Paramount Plus,
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Prime Video,
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Now TV,
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Amazon,3.49
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,YouTube,3.49
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Rakuten TV,3.49
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,AppleTV,1.99
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Sky Store,3.49
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan,Windows Store,2.49
25, City of God,2002,2h 10m,18,8.6, (842K),city of god,Sky Store,3.49
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile,Prime Video,
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile,Amazon,3.49
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile,Rakuten TV,3.49
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile,YouTube,3.49
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile,AppleTV,3.49
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile,Sky Store,3.49
27, Life Is Beautiful,1997,1h 56m,PG,8.6, (783K),life is beautiful,Amazon,3.49
27, Life Is Beautiful,1997,1h 56m,PG,8.6, (783K),life is beautiful,Sky Store,3.49
28, Terminator 2: Judgment Day,1991,2h 17m,15,8.6, (1.2M),terminator 2: judgment day,Amazon,3.49
28, Terminator 2: Judgment Day,1991,2h 17m,15,8.6, (1.2M),terminator 2: judgment day,Rakuten TV,3.49
28, Terminator 2: Judgment Day,1991,2h 17m,15,8.6, (1.2M),terminator 2: judgment day,YouTube,4.49
28, Terminator 2: Judgment Day,1991,2h 17m,15,8.6, (1.2M),terminator 2: judgment day,AppleTV,3.49
28, Terminator 2: Judgment Day,1991,2h 17m,15,8.6, (1.2M),terminator 2: judgment day,Sky Store,3.49
29, Star Wars: Episode IV - A New Hope,1977,2h 1m,U,8.6, (1.5M),star wars: episode iv - a new hope,,
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,Sky Go,
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,Now TV,
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,Amazon,3.49
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,Rakuten TV,3.49
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,YouTube,3.49
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,AppleTV,3.49
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,Sky Store,3.49
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future,Windows Store,2.49
31, Spirited Away,2001,2h 4m,PG,8.6, (918K),spirited away,Netflix,
32, The Pianist,2002,2h 30m,15,8.5, (973K),the pianist,AppleTV,3.49
32, The Pianist,2002,2h 30m,15,8.5, (973K),the pianist,Amazon,3.49
32, The Pianist,2002,2h 30m,15,8.5, (973K),the pianist,Rakuten TV,2.49
32, The Pianist,2002,2h 30m,15,8.5, (973K),the pianist,Sky Store,3.49
32, The Pianist,2002,2h 30m,15,8.5, (973K),the pianist,Windows Store,2.49
33, Gladiator,2000,2h 35m,15,8.5, (1.8M),gladiator,Paramount Plus,
33, Gladiator,2000,2h 35m,15,8.5, (1.8M),gladiator,YouTube,4.49
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,Netflix,
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,YouTube,3.49
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,Rakuten TV,2.99
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,Curzon Home Cinema,4.0
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,Amazon,3.49
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,AppleTV,3.49
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,BFI Player,3.5
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite,Chili,2.49
35, Psycho,1960,1h 49m,15,8.5, (757K),psycho,AppleTV,3.49
35, Psycho,1960,1h 49m,15,8.5, (757K),psycho,Amazon,3.49
35, Psycho,1960,1h 49m,15,8.5, (757K),psycho,YouTube,3.49
35, Psycho,1960,1h 49m,15,8.5, (757K),psycho,Sky Store,3.49
35, Psycho,1960,1h 49m,15,8.5, (757K),psycho,Windows Store,2.49
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king,Disney+,
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king,Amazon,4.99
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king,Rakuten TV,3.45
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king,Sky Store,3.49
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king,AppleTV,4.99
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king,Windows Store,3.49
37, Grave of the Fireflies,1988,1h 28m,12A,8.5, (354K),grave of the fireflies,,
38, The Departed,2006,2h 31m,18,8.5, (1.5M),the departed,Amazon,3.49
38, The Departed,2006,2h 31m,18,8.5, (1.5M),the departed,AppleTV,3.49
38, The Departed,2006,2h 31m,18,8.5, (1.5M),the departed,Rakuten TV,3.49
38, The Departed,2006,2h 31m,18,8.5, (1.5M),the departed,YouTube,3.49
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,Sky Go,
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,Now TV,
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,Rakuten TV,3.49
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,Amazon,3.49
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,AppleTV,3.49
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,Sky Store,3.49
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,YouTube,3.49
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash,Windows Store,2.49
40, Harakiri,1962,2h 13m,X,8.6, (81K),harakiri,,
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,Prime Video,
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,Amazon,3.49
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,Rakuten TV,3.49
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,AppleTV,3.49
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,Sky Store,3.49
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,YouTube,3.49
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige,Windows Store,3.49
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x,Amazon,3.49
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x,AppleTV,3.49
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x,Rakuten TV,3.49
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x,Sky Store,3.49
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x,Windows Store,3.49
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x,YouTube,3.49
43, Leon,1994,1h 50m,18,8.5, (1.3M),leon,Amazon,3.49
43, Leon,1994,1h 50m,18,8.5, (1.3M),leon,AppleTV,3.49
43, Leon,1994,1h 50m,18,8.5, (1.3M),leon,YouTube,3.49
43, Leon,1994,1h 50m,18,8.5, (1.3M),leon,Sky Store,3.49
